hanzi,pinyin,translation,alt_translations,tags
爱,ài,aimer,affectionner; être friand de; amour; adorer; chérir; avoir un faible pour; aimer bien; préférer; être attaché à; tenir à; avoir cher,
八,bā,huit,8; le chiffre huit; nombre de paires,
爸爸,bà ba,père,"papa; père (familier); patriarche; géniteur; paternel; pater; père de famille",
杯子,bēi zi,tasse,verre; gobelet; récipient; coupe; bol; conteneur; verre à boire; tasse à café; verre à eau,
北京,běi jīng,Beijing,capitale; Pékin; capitale de la Chine; métropole; siège du gouvernement; ville du nord,
本,běn,origine,"source; racine; fondation; base; original; principal; essence; racines; essence première; nature; propre",
不客气,bú kè qi,Je vous en prie,"de rien; non merci; il n'y a pas de quoi; c'est normal; soyez bienvenu; pas de problème; à votre service",
不,bù,ne pas (préfixe négatif),"pas; non; non pas; négatif; sans; contraire; absence de; point du tout; jamais",
菜,cài,plat,"légumes; aliment; nourriture; cuisine; mets; vivres; denrées; comestibles; victuailles",
茶,chá,thé,"boisson de thé; infusion; breuvage; feuille de thé; thé noir; thé vert; tisane",
吃,chī,manger,"se nourrir; consommer; avaler; ingérer; dévorer; faire repas; se restaurer; prendre ses repas",
出租车,chū zū chē,taxi,"véhicule de location; voiture de location; taxi collectif; voiture de service; transport urbain",
打电话,dǎ diàn huà,téléphoner,"appeler; donner un coup de téléphone; télécommuniquer; communiquer par téléphone; passer un appel",
大,dà,grand,"important; large; aîné; vaste; considérable; énorme; majestueux; immense; vastitude; ampleur",
的,de,de (particule de possession ou de description),"particule; marqueur de possession; marqueur de description; particule structurelle; possession",
点,diǎn,un peu,"instant; moment; heure; tache; légère quantité; miette; parcelle; point; goutte; indication; marque",
电脑,diàn nǎo,ordinateur,"machine informatique; ordinateur personnel; PC; ordinateur de bureau; poste de travail; calculatrice électronique",
电视,diàn shì,télévision,"TV; poste de télévision; petit écran; téléviseur; appareil télévisuel; récepteur de télévision",
电影,diàn yǐng,film,"cinéma; pellicule; projection; œuvre cinématographique; long métrage; film commercial",
东西,dōng xi,chose,"objet; article; truc; affaire; item; produit; denrée; bien; machin; tranche; chose quelconque",
都,dōu,tous,"entièrement; complètement; globalement; chacun; l'ensemble; tout le monde; sans exception; universellement",
读,dú,lire,"étudier; parcourir des yeux; déchiffrer; interpréter; prendre connaissance de; lire à haute voix",
对不起,duì bu qǐ,Je suis désolé,"excusez-moi; pardon; regrets; désolé; pardonner-moi; excuse-moi; je m'excuse; c'est de ma faute",
多,duō,beaucoup,"nombreux; multiple; plein de; abondant; copieux; quantité importante; multitude; pléthore",
多少,duō shǎo,combien,"quel nombre; quelle quantité; combien de fois; quel prix; tarif; montant; valeur",
儿子,ér zi,fils,"enfant mâle; garçon; descendant; héritier; cadet; rejeton; fils unique; petit garçon",
二,èr,deux,"le nombre deux; couple; paire; duel; duo; binaire; deuxième rang; second",
饭店,fàn diàn,restaurant,"établissement culinaire; lieu de restauration; maison de bouffe; cabaret; auberge; hôtel-restaurant",
飞机,fēi jī,avion,"appareil volant; aéronef; vaisseau aérien; oiseau de fer; machine volante; jet; aeronef",
分钟,fēn zhōng,minute,"unité de temps; 60 secondes; instant court; moment bref; minute circulaire",
高兴,gāo xìng,heureux,"ravi; joyeux; content; satisfait; en bonne humeur; enthousiaste; comblé; enchanté",
个,gè,classificateur,"unité; item; pièce; exemplaire; cas; occurrence; nombre; quantité discrète; particularité",
工作,gōng zuò,travail,"emploi; occupation; métier; profession; tâche; besogne; ouvrage; labeur; œuvre professionnelle",
狗,gǒu,chien,"canidé; bête; animal domestique; compagnon; fidèle compagnon; ami loyal; cabot; toutou",
汉语,hàn yǔ,langue chinoise,"langue de Chine; chinois; idiome chinois; parler chinois; dialecte mandarin; sinicum",
好,hǎo,bon,"bien; joli; agréable; excellent; satisfait; correct; favorable; bénéfique; avantageux",
号,hào,jour d'un mois,"date; numéro; jour du mois; rang; ordre; position; classement; numérotation",
喝,hē,boire,"absorber un liquide; ingérer une boisson; étancher sa soif; prendre un verre; consommer",
和,hé,et,"avec; somme; union; alliance; paix; harmonie; ainsi que; joint à; paix gentille",
很,hěn,très,"très; fort; beaucoup; extrêmement; grandement; hautement; considérablement; bien",
后面,hòu miàn,arrière,"derrière; dos; envers; revers; postérieur; tardif; plus tard; ultérieurement; après",
回,huí,revenir,"retourner; faire demi-tour; répondre; tournant; cycle; fois; révolution; retour",
会,huì,pouvoir,"être capable; savoir faire; réunion; association; assemblée; congrès; être possible",
几,jǐ,combien,"quel nombre; quelle quantité; quelques; plusieurs; à peu près; environ; à peine",
家,jiā,maison,"famille; logis; demeure; habitation; foyer; clan; dynastie; école; communauté; maître",
叫,jiào,appeler,"crier; commander; ordonner; demander; nommer; être appelé; être dit; inviter",
今天,jīn tiān,aujourd'hui,"ce jour; le jour présent; le jour actuel; le jour courant; jour même; date actuelle",
九,jiǔ,neuf,"9; nombre neuf; chiffre neuf; nouvelle; final ronde",
开,kāi,ouvrir,"commencer; allumer; conduire; faire fonctionner; écarter; dépenser; prescrire",
看,kàn,regarder,"lire; examiner; considérer; surveiller; observer; contempler; visionner; voir",
看见,kàn jiàn,voir,"apercevoir; discerner; distinguer; observer; contempler; reconnaître; identifier",
块,kuài,unité monétaire,"morceau; pièce; portion; tranche; segment; yuan; rectangle; brique; bloc",
来,lái,venir,"arriver; provenir; suivant; depuis; futur; amener; causer; venir à; se produire",
老师,lǎo shī,professeur,"enseignant; maître; instructeur; éducateur; docent; tuteur; magister; pédagogue",
了,le,particule d'action achevée,"marque d'action achevée; marque modale; complété; terminé; fini; accompli",
冷,lěng,froid,"frigorifié; gelé; glacé; réfrigéré; indifférent; détaché; sans chaleur; glacial",
里,lǐ,intérieur,"dedans; intérieur; profondeur; doublure; revêtement; substance; essence; cœur",
六,liù,six,"6; nombre six; sextuple; hexagone; groupe de six",
吗,ma,particule interrogative,"marque interrogative; particule ordinaire; interrogatif simple; oui ou non",
妈妈,mā ma,maman,"mère; maman; génitrice; maman (familier); chère mère; matrone; materne",
买,mǎi,acheter,"faire l'acquisition; acquérir; se procurer; employer; acheter de; faire emplette",
猫,māo,chat,"félin; animal de compagnie; félin domestique; chat mâle; chat femelle; moufette",
没关系,méi guān xi,ce n'est pas important,"aucune importance; sans conséquence; c'est normal; cela ne fait rien; pas grave",
没有,méi yǒu,ne pas avoir,"absence de; ne pas posséder; non-existence; néant; dépourvu; dénué; inexistant",
米饭,mǐ fàn,riz cuit,"riz blanc; riz bouillie; grains cuits; aliment principal; féculant; grain de riz",
名字,míng zi,nom,"appellation; dénomination; titre; étiquette; désignation; label; identifiant",
明天,míng tiān,demain,"jour suivant; le jour d'après; lendemain; à venir; prochain jour; demain",
哪,nǎ,lequel ?,"quel; qui; n'importe lequel; quelconque; aucun ne; quoi; où; quel endroit",
哪儿,nǎ er,où ?,"en quel endroit; quel lieu; location; position; place; demeure; résidence; locale",
那,nà,cela,"ceci; ce; ces; alors; en ce cas; à ce moment; celui-ci; celui-là",
呢,ne,particule interrogative,"marque interrogative; et vous; particule modale; interrogatif; continuation",
能,néng,pouvoir,"être capable; savoir faire; compétence; talent; capacité; possible; permission",
你,nǐ,tu,"toi; you; deuxième personne; ton; your; personnel; prononcé direct",
年,nián,année,"an; cycle annuel; saison; époque; ère; année civile; année lunaire",
女儿,nǚ ér,fille,"enfant femelle; jeune fille; demoiselle; descendante; héritère; cadette",
朋友,péng you,ami,"camarade; compagnon; copain; allié; partenaire; confidentaire; intime",
漂亮,piào liang,joli,"beau; magnifique; séduisant; attrayant; gracieux; élégant; engageant",
苹果,píng guǒ,pomme,"fruit; nourriture; couleur; rondeur; excellence; richesse; abondance",
七,qī,sept,"7; nombre sept; septuple; heptagon; groupe de sept",
前面,qián miàn,devant,"en avant; face; direction frontale; antérieur; façade; avant-plan; devant la scène",
钱,qián,argent,"monnaie; devise; numéraire; espèces; richesse; fortune; capital; fonds",
请,qǐng,demander,"prier; inviter; supplier; implorer; quémander; solliciter; demande instante",
去,qù,aller,"s'en aller; partir; enlever; retirer; extraire; passer; s'écouler",
热,rè,chaleur,"chaud; température élevée; ardeur; zèle; passion; sensibilité; enthousiasmé",
